bidder_id,avg_avg_time_between_other_bids,avg_avg_time_between_own_bids,avg_avg_time_between_own_bids_second,avg_consecutive_bids_per_auction,avg_n_bids_per_auction,avg_whole_time_per_auction,max_avg_time_between_other_bids,max_avg_time_between_own_bids,max_avg_time_between_own_bids_second,max_n_bids_per_auction,min_avg_time_between_other_bids,min_avg_time_between_own_bids,min_avg_time_between_own_bids_second,min_n_bids_per_auction,n_auctions,n_auctions_won,n_bids,n_bids_first,n_countries,n_devices,n_ips,n_urls,var_avg_time_between_other_bids,var_n_bids_per_auction
668d393e858e8126275433046bbd35c6tywop,222521068206.63986,1431097227379.5098,-15617473474.810658,1.352128201997604,33.64983164983165,6685272321428.5625,7569263157895.0,13280210526316.0,6268157894737.0,1684,11145510.847058823,578947368.0,-7772684210527.0,1,594,78,19988,88,154,1029,10316,4527,3.600245236845385e+23,28868.92270654834
e8291466de91b0eb4e1515143c7f74dexy2yr,71035365104.83351,1134007840715.8662,-12045152515.125017,1.1433169667824084,38.19822109275731,7197480730050.928,1550052631579.0,11553263157894.0,8194947368420.0,2831,24262784.624113474,315789474.0,-11051789473684.0,1,787,52,30062,50,125,403,20492,295,3.0840059148786817e+22,28392.57134543197
a58ace8b671a7531c88814bc86b2a34cf0crb,144425951936.55396,576196203330.331,19181133283.67631,7.134709871707785,257.4398395721925,8750358881073.646,4067526315790.0,10922842105263.0,8692157894736.0,16361,7518797.0,244023280.4475222,-8906789473685.0,1,748,272,192565,216,76,2020,53405,36518,1.6077073766992977e+23,872209.0659876583
7e34a26c4c339e875997f4b9239d2b5fscng4,11867660940.181805,1069481362264.1265,87317853398.58028,1.045897215460611,56.22222222222222,9733596889952.145,112565789473.5,10444789473684.0,5230894736843.0,852,0.0,2421052631.0,-5916421052632.0,1,162,3,9108,3,23,367,6046,1886,4.1452263696079494e+20,13163.652173913044
6c8ffec692e88d81e1b18d47818abb04v6llr,172340326193.4093,1135779578523.652,2634309367.351256,1.3146666939087188,87.55867082035306,8405824172048.924,3772807017544.0,12944210526316.0,9798842105264.0,5513,26087749.70017331,631578947.0,-10398947368421.0,1,963,164,84319,145,125,1610,27560,13416,1.8071509436353077e+23,134740.70835249338
37bf6f23b628a3e2b5b22ba81beccbef0efoh,50271097826.48172,1664655405268.2302,-122454090060.96046,1.044739319018219,16.90159574468085,7621955023923.468,1925947368421.0,12059842105263.0,7522000000000.0,1371,32438865.21735959,526315789.5,-8954315789474.0,1,376,8,6355,10,76,528,4870,248,3.9531855413205025e+22,6880.867624113475
af9c96944265cf541b3fe734a057821a825l7,107252479316.1126,1415866888111.3206,224058616728.80798,1.236763656722265,12.010050251256281,5454570637119.062,2253964912280.6665,10265631578947.0,4971157894737.0,451,105263158.0,1000000000.0,-3891000000001.0,1,199,14,2390,18,78,315,963,1691,8.187112213297864e+22,1959.1817166641285
52d8066e28f168e5bee769559ead307e1go7e,26687194856.33934,1150187802734.8538,-67047709911.2519,1.0583064163797284,20.673306772908365,6354763456937.772,1221657894737.0,9217684210526.0,4394052631580.0,228,35087719.333333336,11368421052.0,-10655947368420.0,1,251,5,5189,9,72,425,1494,1140,9.65976490217129e+21,1819.076844621514
50a4bfbac8a9653af4099ec1169f684c2nsgu,15204840425.00853,1897686551399.8335,219420175692.25168,1.0341134266806558,21.29326923076923,7428179188429.092,225868421053.0,10465157894737.0,11687526315789.0,2646,14035087.666666666,421052632.0,-9338842105263.0,1,208,2,4429,0,38,386,2705,1478,1.1802034595162334e+21,34003.57058249721
76f17ce227e593aeff456fed46e36c83a3j72,70279682403.57669,1627408976969.0894,330087199312.658,1.0862192498608978,13.408730158730158,7091181974544.209,3793894736842.0,11829210526316.0,8858157894736.0,481,15037594.0,421052632.0,-5061421052632.0,1,252,9,3379,9,64,348,2520,1506,1.2760084183394697e+23,1894.0035888193258
46a28eaed47c29b4fd148a50cde44840u0bsn,142295758513.43906,1044336442609.3204,-60515645484.22271,1.6397141633225085,42.798825256975036,7227422570850.246,3106052631579.0,9253157894737.0,9149947368421.0,1778,102974828.36956522,2026628540.7911716,-13213473684211.0,1,681,105,29146,112,64,986,21502,1672,1.1710908089771576e+23,17202.15799861795
cffb5f3c1f4ca815d0f643fcb2f2f316beod4,608131467891.5969,1497630833379.8872,-1265191809.8090098,3.700756201958534,39.524212144504226,9117774928774.934,13332631578948.0,13332631578948.0,9211421052631.0,2956,32258064.529032256,368421052.0,-8345052631578.0,1,1301,478,51421,511,48,1040,24901,14907,1.8656474651381435e+24,15902.641913321113
dd055846eb553ab8e953b084f2048d53bdqec,91917287399.27496,886002293099.872,-54679244994.449425,3.2347459260126072,118.27093596059113,8163782456140.383,2698815789474.0,9997000000000.0,7708684210526.0,2533,35087719.333333336,870445344.1153846,-9106157894737.0,1,406,92,48018,99,57,274,15337,254,7.478587831013632e+22,98267.45233838107
b1863365ae232a316eb946ba56a29415m0gdz,225692909331.12567,1275707539948.3928,133764701171.21945,1.8909460211101576,46.74561403508772,7248712596097.034,3954228070175.6665,9954000000000.0,3247684210526.5,586,574228675.1241379,16409986504.724787,-4125526315789.5,1,114,19,5329,22,29,240,2982,845,4.4260625685060926e+23,14285.005511566527
d79919e5ba11f26bce5e70f0a4f859e3e4q9y,78195441516.60022,1425486514005.8958,-85336237577.3711,1.0770521642197468,61.888888888888886,6421928836174.888,960973684210.5,11474578947368.0,4433473684210.0,4062,26315789.5,3358921188.71411,-7515368421052.0,1,81,6,5013,5,3,119,407,19,2.9700089394374558e+22,202803.9
037d9f10da403d8d5f94b6e2957a3702f6x07,259358164974.28494,1504067044856.6575,99631423647.25572,1.432244428309248,21.79222972972973,7721726742228.728,5362631578947.0,9362421052631.0,9078157894736.0,2295,60150375.71428572,157894737.0,-9033894736842.0,1,592,105,12901,97,45,786,5128,6609,3.722525903885735e+23,10121.19026100974
8c2bdb9dd878a811701838002627a056be0ce,26233296612.881996,1396008371673.4673,-203290576454.64258,1.0622956678935638,18.675675675675677,7101230769230.782,352280701754.3333,13481210526315.0,1387552631578.5,260,0.0,6210526315.5,-4593315789475.0,1,111,3,2073,4,21,255,1100,229,2.461209608373242e+21,1780.4574938574938
e12177ff9c1a8413996f7b1a590980c82ofeo,62072736359.8345,1618051595496.0293,111297394328.5634,1.0490651605902837,12.802177858439201,7490408528004.516,1566000000000.0,13276052631579.0,9272368421053.0,402,29643073.195402298,1421052632.0,-6451526315790.0,1,551,19,7054,27,76,451,3887,4233,3.104509502610933e+22,1071.5735225210362
458c8c4e10e5c1b29e3fbe5ee56d46e8y3fb3,36775831730.07358,2086132470913.0278,170594276333.85428,1.0184816095154543,11.310679611650485,4696654970760.139,891236842105.0,12868000000000.0,3851210526315.5,949,64167267.47734457,14373806351.32173,-2678789473684.0,1,103,0,1165,5,37,166,414,845,2.2172714510799184e+22,8713.922139729679
953879d32e39e014cf8ce73daa2547cb2ke8t,176871852815.64578,1064288810769.3215,-131155957489.16438,1.2180823133821264,33.395833333333336,6517876787344.109,6210421052632.0,9254105263158.0,5743315789474.0,903,105263158.0,3052631579.0,-10534526315790.0,1,240,25,8015,27,119,710,4028,2850,3.7525196856828903e+23,11854.608350767086
22fb740f267ac617118261b2fd3365batisfg,354470055821.2271,3938530255063.4004,721309106098.5238,1.21875,3.9375,7778114832535.728,2647842105263.0,12920684210526.0,9769421052632.0,20,175438596.66666666,422731301939.0526,-3307315789474.0,1,16,1,63,5,7,36,50,35,6.431589181176423e+23,23.529166666666665
67fbdc4209a1566288acba904a2b5a7ee588g,34888902705.97283,1661935046131.7078,-327206556629.9674,1.0535034024411156,9.393617021276595,6806125066904.512,1450684210526.5,12922105263158.0,4621473684210.0,301,0.0,1315789473.0,-11172736842105.0,1,470,6,4415,6,101,544,3138,18,1.8297210927857218e+22,613.0835412602639
0547dbd3ecb4a293913f138d60b586fdf4ane,107000871292.47844,1178215877648.6711,-90079295438.65848,1.0571877708901303,8.909090909090908,6062957894736.8,1799868421052.5,4329736842105.0,2036210526315.0,57,134502924.0,789473685.0,-4591789473684.0,1,33,0,294,2,41,4,280,3,1.4221178706212438e+23,174.27272727272725
